#  time MSD(time)
1.800000000000000044e+00 1.028350415767505638e+03
1.840000000000000080e+00 1.059017627572633728e+03
1.880000000000000115e+00 1.089358533584617135e+03
1.919999999999999929e+00 1.119325052822825910e+03
1.959999999999999964e+00 1.148869384000241325e+03
2.000000000000000000e+00 1.177944845585449457e+03
2.040000000000000036e+00 1.206506287165565254e+03
2.080000000000000071e+00 1.234510839861890418e+03
2.120000000000000107e+00 1.261918299857798274e+03
2.160000000000000142e+00 1.288691616960361443e+03
2.200000000000000178e+00 1.314797148019073802e+03
2.240000000000000213e+00 1.340204610800912633e+03
2.280000000000000249e+00 1.364887001192860453e+03
2.319999999999999840e+00 1.388820289909366466e+03
2.359999999999999876e+00 1.411983099425941191e+03
2.399999999999999911e+00 1.434356279098857840e+03
2.439999999999999947e+00 1.455922210442933192e+03
2.479999999999999982e+00 1.476664577254814958e+03
2.520000000000000018e+00 1.496567781797218913e+03
2.560000000000000053e+00 1.515616849110159364e+03
2.600000000000000089e+00 1.533797047109787172e+03
2.640000000000000124e+00 1.551093723550578943e+03
2.680000000000000160e+00 1.567492201025961776e+03
2.720000000000000195e+00 1.582977666962200374e+03
2.760000000000000231e+00 1.597535232600826703e+03
2.800000000000000266e+00 1.611149910600191106e+03
2.839999999999999858e+00 1.623806764229790815e+03
2.879999999999999893e+00 1.635491057520197728e+03
2.919999999999999929e+00 1.646188310123737438e+03
2.959999999999999964e+00 1.655884545253609758e+03
3.000000000000000000e+00 1.664566734546023781e+03
3.040000000000000036e+00 1.672222957103253520e+03
3.080000000000000071e+00 1.678842689497510264e+03
3.120000000000000107e+00 1.684416931180535357e+03
3.160000000000000142e+00 1.688938385047344809e+03
3.200000000000000178e+00 1.692401516311138494e+03
3.240000000000000213e+00 1.694802781631303105e+03
3.280000000000000249e+00 1.696140517389514343e+03
3.320000000000000284e+00 1.696415045025802783e+03
3.359999999999999876e+00 1.695628456850252178e+03
3.399999999999999911e+00 1.693784854541585219e+03
3.439999999999999947e+00 1.690890070700652814e+03
3.479999999999999982e+00 1.686951728693224595e+03
3.520000000000000018e+00 1.681979323358676538e+03
3.560000000000000053e+00 1.675984072142287232e+03
3.600000000000000089e+00 1.668979074411038937e+03
3.640000000000000124e+00 1.660979477151492802e+03
3.680000000000000160e+00 1.652002322883632587e+03
3.720000000000000195e+00 1.642066593085992054e+03
3.760000000000000231e+00 1.631192940540013069e+03
3.800000000000000266e+00 1.619403873146188516e+03
3.839999999999999858e+00 1.606723565919934344e+03
3.879999999999999893e+00 1.593177929061214172e+03
3.919999999999999929e+00 1.578794273100335886e+03
3.959999999999999964e+00 1.563601390991110748e+03
4.000000000000000000e+00 1.547629273190093272e+03
4.040000000000000036e+00 1.530909080985572700e+03
4.080000000000000071e+00 1.513473095647629862e+03
4.120000000000000107e+00 1.495354272347245114e+03
4.160000000000000142e+00 1.476586465101910335e+03
4.200000000000000178e+00 1.457204010586407549e+03
4.240000000000000213e+00 1.437241661153755558e+03
4.280000000000000249e+00 1.416734501102674358e+03
4.320000000000000284e+00 1.395717813989818296e+03
4.360000000000000320e+00 1.374226827798649538e+03
4.400000000000000355e+00 1.352296665482262824e+03
4.440000000000000391e+00 1.329962208632475949e+03
4.480000000000000426e+00 1.307258130443840628e+03
4.520000000000000462e+00 1.284218933739290151e+03
4.560000000000000497e+00 1.260878911726224260e+03
4.600000000000000533e+00 1.237272153268371540e+03
4.639999999999999680e+00 1.213432464346150027e+03
4.679999999999999716e+00 1.189393452793080087e+03
4.719999999999999751e+00 1.165188528525877018e+03
4.759999999999999787e+00 1.140850844428621258e+03
4.799999999999999822e+00 1.116413399660509867e+03
